Sub Status,city,state,american express/premium      ,american express/regular      ,discover/premium              ,discover/regular              ,other card/premium            ,other card/regular            ,store or retail/regular       ,visa/regular                  ,mastercard/regular            ,person 1: technology adoption ,person 1: health well being   ,act/int: wine lovers          ,act/int: do-it-yourselfers    ,act/int:home improve spenders ,act/int: hunting enthusiasts  ,buyer: laptop owners          ,buyer: security sys owners    ,buyer: coupon users           ,buyer: warehouse club members ,lifestyle: life ins policy    ,lifestyle: medical policy     ,lifestyle: medicare policy    ,act/int:video gamer           ,act/int:eats family restaurant,act/int:eats fast food        ,act/int: cat owners           ,act/int: dog owners           ,style: high freq domestic vac ,style: high freq foreign vac  
Expired/Cancelled,BOTHELL,WA,U,U,U,U,U,Y,U,U,U,4,2,25,79,51,92,69,63,45,35,44,50,43,96,80,96,78,98,15,8
Expired/Cancelled,DENVER,CO,U,Y,U,U,U,U,U,U,U,3,2,25,80,23,43,86,30,48,27,7,13,22,96,85,99,63,89,3,9
Active,PHOENIX,AZ,U,U,U,U,U,Y,U,Y,Y,4,3,25,78,55,48,86,50,20,15,12,11,36,98,71,98,65,98,7,1
Expired/Cancelled,GLENDALE,AZ,U,Y,U,U,U,Y,U,Y,Y,3,4,25,4,4,29,20,16,33,2,5,1,99,31,64,61,45,35,2,4
Expired/Cancelled,PHOENIX,AZ,U,Y,U,U,U,Y,U,Y,Y,4,2,25,78,55,48,86,50,20,15,12,11,36,98,71,98,65,98,7,1
Active,LACEY,WA,U,Y,U,U,U,Y,U,Y,Y,3,4,25,71,18,21,84,3,60,24,2,14,38,98,38,98,54,87,18,28
Active,HAILEY,ID,U,Y,U,U,U,Y,U,Y,U,3,4,25,31,27,26,39,62,72,45,47,33,99,57,70,83,49,60,21,15
Active,LA QUINTA,CA,U,U,U,U,U,Y,U,U,U,3,2,25,26,18,26,40,21,49,2,1,3,33,79,91,83,48,60,12,12
Expired/Cancelled,AUSTIN,TX,U,U,U,U,U,Y,U,Y,U,4,2,25,69,41,42,87,41,19,64,42,45,79,77,71,99,75,91,9,14
Active,SAN RAFAEL,CA,U,Y,U,Y,U,Y,U,Y,Y,3,4,25,25,1,29,59,34,36,11,15,20,21,89,72,89,51,59,16,11
Expired/Cancelled,LAS VEGAS,NV,U,U,Y,U,Y,Y,U,Y,U,4,2,25,69,20,27,83,32,75,10,1,1,11,99,94,99,57,87,27,23
Active,ARLINGTON,MA,U,Y,U,U,U,Y,Y,Y,U,3,3,25,31,17,59,45,35,80,16,40,45,99,91,81,78,20,55,34,18
Active,CHICAGO,IL,U,Y,U,U,U,Y,U,Y,Y,3,2,25,98,74,50,53,86,59,42,43,34,29,96,84,98,87,99,12,4
Active,GREENWICH,CT,U,Y,U,Y,U,Y,U,Y,U,4,2,25,90,75,57,55,76,84,67,73,55,92,82,87,98,82,99,13,5
Active,BRENTWOOD,CA,U,Y,U,U,U,Y,U,Y,Y,3,2,25,34,24,24,74,38,18,14,20,15,62,93,50,98,64,83,20,6
Active,LAKELAND,FL,U,U,U,U,U,U,U,U,U,4,2,25,69,20,27,83,32,75,10,1,1,11,99,94,99,57,87,27,23
Active,SAN JUAN CAPISTRANO,CA,,,,,,,,,,2,4,25,22,1,29,53,32,20,6,15,20,99,89,34,86,14,60,15,11
Active,ORLANDO,FL,U,U,U,U,U,Y,U,Y,Y,4,3,25,78,55,48,86,50,20,15,12,11,36,98,71,98,65,98,7,1
Expired/Cancelled,APOLLO BEACH,FL,U,U,U,Y,Y,Y,U,Y,Y,4,4,25,70,17,23,85,21,59,26,3,4,38,99,97,99,57,86,18,29
Active,JEFFERSON HILLS,PA,U,Y,U,U,U,Y,U,Y,Y,3,3,25,64,24,31,85,30,32,22,10,2,11,96,54,98,61,93,22,14
Active,SURPRISE,AZ,U,U,U,U,Y,Y,U,Y,Y,2,3,25,34,8,23,45,27,49,20,25,30,99,60,84,78,55,57,17,11
Expired/Cancelled,LAS VEGAS,NV,U,Y,U,U,U,Y,U,Y,Y,3,3,25,78,55,48,86,50,20,15,12,11,36,98,71,98,65,98,7,1
Expired/Cancelled,DELRAY BEACH,FL,U,Y,U,U,U,Y,U,U,Y,4,4,25,34,8,23,45,27,49,20,25,30,99,60,84,78,55,57,17,11
Active,TAMPA,FL,U,Y,U,U,U,Y,U,Y,U,3,2,25,78,55,48,86,50,20,15,12,11,36,98,71,98,65,98,7,1
Active,ASHLAND,OR,U,U,U,U,U,Y,U,Y,U,4,2,25,78,55,48,86,50,20,15,12,11,36,98,71,98,65,98,7,1
Active,MERRITT ISLAND,FL,U,Y,U,U,U,Y,U,Y,Y,3,4,25,23,20,29,44,30,49,3,1,1,11,92,96,87,44,49,15,7
Active,MESA,AZ,U,U,Y,Y,Y,Y,Y,U,Y,4,2,25,69,20,27,83,32,75,10,1,1,11,99,94,99,57,87,27,23
Active,LANTANA,FL,Y,U,U,U,Y,U,U,U,U,4,4,25,35,37,42,57,65,16,28,28,38,99,63,22,51,21,29,58,29
Active,FALLS CHURCH,VA,U,Y,U,Y,U,Y,U,Y,Y,2,4,25,20,40,19,52,51,47,20,22,23,99,75,59,67,16,22,19,30
Expired/Cancelled,AUSTIN,TX,U,Y,U,U,U,Y,U,Y,Y,3,3,25,12,12,24,32,35,52,35,31,27,99,38,95,57,65,10,20,10
Expired/Cancelled,GLOUCESTER,MA,U,Y,U,U,U,Y,Y,U,Y,4,4,25,30,11,21,54,3,60,20,2,14,33,86,38,88,39,59,17,26
Active,NEWNAN,GA,U,Y,Y,Y,U,Y,U,Y,Y,4,3,25,69,20,27,83,32,75,10,1,1,11,99,94,99,57,87,27,23
Active,OKLAHOMA CITY,OK,U,U,U,U,U,Y,U,Y,U,4,2,25,74,25,27,89,2,46,14,2,12,11,97,43,93,51,87,21,28
Expired/Cancelled,KERRVILLE,TX,U,U,U,U,U,Y,U,U,U,4,2,25,70,17,23,85,21,59,26,3,4,7,99,97,99,57,86,18,29
Active,HONOLULU,HI,U,U,U,U,U,U,U,U,U,1,2,25,75,45,49,77,62,57,27,21,23,56,98,98,98,65,98,16,9
Active,FULTON,NY,U,U,U,U,U,U,U,Y,U,3,3,25,75,22,16,82,21,43,12,14,14,35,97,20,98,57,86,16,14
Active,BONAIRE,GA,U,U,U,U,U,Y,U,U,U,3,3,25,39,22,21,41,2,16,25,18,34,99,30,43,27,29,54,11,22
Expired/Cancelled,LYME,CT,,,,,,,,,,4,2,25,73,13,27,81,22,28,27,22,12,11,93,74,99,80,88,8,1
Expired/Cancelled,OMAHA,NE,U,U,U,U,U,U,U,U,U,3,2,25,69,20,27,83,32,75,10,1,1,11,99,94,99,57,87,27,23
Active,RICHMOND,VA,U,U,U,U,U,U,U,Y,Y,4,2,25,70,17,23,85,21,59,26,3,4,7,99,97,99,57,86,18,29
Active,BURLINGTON,MA,Y,Y,Y,U,U,Y,Y,Y,Y,4,2,25,67,46,23,71,58,47,32,29,31,45,88,74,93,75,81,20,28
Expired/Cancelled,BOCA RATON,FL,U,U,U,U,U,Y,U,U,U,2,4,25,70,17,23,85,21,59,26,3,4,7,99,97,99,57,86,18,29
Expired/Cancelled,HERNDON,VA,U,U,U,U,U,Y,U,U,Y,2,3,25,1,18,23,11,38,44,20,23,16,99,30,65,48,47,3,16,2
Active,MIAMI,FL,U,U,U,U,U,U,U,U,U,2,3,25,34,8,15,45,27,36,23,32,31,99,56,61,77,55,45,18,11
Expired/Cancelled,WASHINGTON TWP,MI,U,U,U,U,U,U,U,U,U,3,4,25,26,7,30,37,15,36,3,11,1,99,67,74,83,38,48,5,2
Active,WYOMISSING,PA,U,U,U,U,U,U,U,Y,Y,3,3,25,24,3,20,49,31,63,49,24,32,99,83,84,92,54,56,23,42
Expired/Cancelled,VAIL,CO,U,Y,U,Y,U,Y,U,Y,Y,4,4,25,78,55,48,86,50,20,15,12,11,36,98,71,98,65,98,7,1
Active,NEW LONDON,NH,U,Y,U,U,U,Y,U,Y,Y,4,4,25,27,10,15,52,18,55,20,6,5,24,89,80,82,27,10,17,31
Expired/Cancelled,PLANTATION,FL,U,U,U,U,U,Y,U,Y,Y,4,2,25,80,23,43,86,30,48,27,7,13,21,96,85,99,63,89,3,9
Active,JACKSONVILLE,NC,U,U,U,U,U,Y,U,Y,U,3,1,25,26,15,23,44,35,12,30,26,35,99,18,19,35,41,50,33,53
Active,STONINGTON,CT,U,Y,U,U,U,Y,U,Y,U,3,2,25,71,24,34,89,35,44,34,6,11,7,97,38,99,31,90,21,25
Active,PALM BEACH GARDENS,FL,U,Y,U,U,U,U,U,U,U,4,2,25,81,28,51,80,54,36,34,54,54,82,99,58,99,63,86,25,18
Active,SALEM,OR,U,U,U,U,U,U,U,U,U,4,2,25,69,20,26,89,7,39,20,9,30,11,96,46,94,60,87,34,46
Expired/Cancelled,AUSTIN,TX,U,U,U,U,U,Y,U,Y,U,4,2,25,32,5,49,54,35,78,19,41,47,13,86,49,83,19,55,36,18
Expired/Cancelled,DAYTON,OH,U,Y,U,U,Y,Y,U,Y,Y,3,3,25,27,10,15,52,18,55,20,6,5,24,89,80,82,27,10,17,31
Active,PORTAGE,MI,U,U,U,U,U,U,U,U,U,3,1,25,31,13,21,47,33,59,27,21,13,99,68,98,89,22,48,17,14
Active,JAMAICA,NY,U,Y,U,U,U,Y,U,Y,Y,2,3,25,27,7,30,39,15,37,2,10,1,99,94,61,87,38,51,5,2
Active,LAWRENCEVILLE,GA,U,U,U,U,U,U,U,U,Y,2,4,25,32,45,29,5,18,35,4,11,10,99,45,69,58,74,45,1,1
Expired/Cancelled,WARREN,OH,U,U,U,Y,U,Y,U,U,Y,4,2,25,78,25,24,86,35,13,68,5,14,11,94,32,97,50,94,42,24
Expired/Cancelled,CONCORD,MA,U,Y,U,U,U,Y,U,Y,Y,4,2,25,97,62,16,79,74,44,38,43,34,59,89,62,96,87,97,20,12
Active,VERO BEACH,FL,U,U,U,Y,U,U,Y,U,U,2,4,25,38,22,24,35,3,16,28,17,34,99,35,50,30,65,51,12,20
Expired/Cancelled,UPPER CHICHESTER,PA,U,U,U,U,U,Y,U,Y,Y,2,4,25,31,13,18,45,37,55,48,22,32,99,14,78,73,22,17,40,39
Active,HOUSTON,TX,U,U,U,U,U,Y,U,Y,Y,4,2,25,70,17,23,85,21,59,26,3,4,11,99,97,99,57,86,18,29
Active,PASADENA,CA,U,U,U,U,U,U,U,U,U,1,2,25,78,55,48,86,50,20,15,12,11,36,98,71,98,65,98,7,1
Active,THE WOODLANDS,TX,U,Y,U,Y,U,Y,U,Y,Y,3,4,25,74,21,31,82,14,48,7,8,6,7,99,93,99,69,86,7,2
Expired/Cancelled,PALO ALTO,CA,U,Y,U,U,U,U,U,Y,U,3,3,25,16,27,25,38,41,52,16,21,15,99,33,96,49,41,4,18,10
Active,PALM BEACH GARDENS,FL,U,U,U,U,U,U,U,Y,U,4,2,25,75,22,16,82,21,43,12,14,14,35,97,20,98,57,86,16,14
Active,GLEN OAKS,NY,U,Y,U,Y,U,Y,U,Y,Y,2,3,25,30,52,29,40,32,18,7,21,23,99,55,70,50,19,23,19,11
Expired/Cancelled,CINCINNATI,OH,U,U,U,U,Y,Y,U,Y,U,3,3,25,69,20,27,83,32,75,10,1,1,11,99,94,99,57,87,27,23
Active,PONCA CITY,OK,U,U,U,U,U,U,U,U,U,3,2,25,69,20,16,84,24,22,20,9,5,7,99,38,99,52,85,28,23
Active,LELAND,NC,U,U,U,U,U,Y,U,Y,Y,2,2,25,71,18,21,84,3,60,24,2,14,38,98,38,98,54,87,18,28
Expired/Cancelled,WINTER HAVEN,FL,U,U,U,U,U,Y,U,Y,U,3,2,25,71,20,15,89,34,70,13,9,7,11,99,62,99,54,86,28,23
Expired/Cancelled,SARASOTA,FL,U,U,U,U,U,Y,U,Y,Y,3,4,25,31,8,18,50,5,36,2,10,14,82,89,51,88,39,48,16,11
Expired/Cancelled,TALLAHASSEE,FL,,,,,,,,,,2,4,25,30,4,23,41,24,49,21,4,23,99,40,94,77,67,47,15,5
Expired/Cancelled,RIVERVIEW,FL,U,U,U,U,U,Y,U,U,Y,2,4,25,26,4,15,30,18,35,16,11,17,99,23,73,59,56,9,16,6
Expired/Cancelled,IRVINE,CA,U,U,U,Y,U,U,U,Y,U,2,4,25,35,75,29,13,48,45,15,41,34,99,47,68,40,66,42,19,26
Expired/Cancelled,GLENDALE,AZ,U,U,U,U,U,Y,U,Y,U,3,2,25,71,20,15,89,34,70,13,9,7,11,99,62,99,54,86,28,23
Active,COLORADO SPRINGS,CO,U,U,U,U,U,U,U,Y,U,3,2,25,81,79,55,80,43,41,28,16,15,21,98,84,98,76,98,21,16
Active,NORTH ATTLEBORO,MA,U,Y,U,U,U,Y,U,Y,Y,2,4,25,32,24,43,35,30,40,25,21,33,99,50,50,57,40,26,11,15
Active,AUSTIN,TX,U,Y,U,Y,U,Y,U,Y,Y,3,4,25,81,79,55,80,43,41,28,16,15,36,98,84,98,76,98,21,16
Active,WEST ORANGE,NJ,U,U,U,U,U,U,U,Y,Y,2,4,25,20,34,43,56,63,48,12,33,25,99,83,68,79,32,68,18,7
Active,KENDALL PARK,NJ,U,Y,U,U,U,Y,Y,Y,Y,2,4,25,33,38,29,36,38,48,8,35,31,99,84,86,77,48,36,14,5
Expired/Cancelled,BELLE ISLE,FL,U,U,U,U,U,Y,U,Y,Y,2,4,25,21,16,16,13,15,35,4,1,4,99,44,69,67,65,20,14,13
Expired/Cancelled,ELMHURST,NY,U,U,U,Y,U,Y,U,Y,U,2,3,25,43,78,43,11,61,67,21,34,32,99,49,64,59,64,78,11,5
Active,THE VILLAGES,FL,U,U,U,U,U,Y,U,Y,Y,3,2,25,36,8,15,54,27,36,23,32,31,63,52,49,81,55,57,19,11
Expired/Cancelled,MOBILE,AL,U,Y,U,U,U,Y,U,Y,Y,4,2,25,79,55,49,86,47,16,10,11,11,49,91,71,94,68,96,8,1
Expired/Cancelled,LEWISVILLE,TX,U,U,U,U,U,Y,U,Y,Y,3,2,25,69,20,27,83,32,75,10,1,1,11,99,94,99,57,87,27,23
Expired/Cancelled,HOUSTON,TX,U,U,U,U,U,U,U,U,U,2,4,25,31,20,36,25,35,40,3,5,16,56,60,38,66,53,19,18,8
Expired/Cancelled,SAN RAFAEL,CA,U,U,U,Y,U,Y,U,Y,Y,2,4,25,21,8,32,53,33,16,2,14,20,99,80,47,84,40,60,17,3
Expired/Cancelled,AUSTIN,TX,Y,Y,U,U,Y,Y,U,Y,Y,4,2,25,78,55,48,86,50,20,15,12,11,22,98,71,98,65,98,7,1
Active,SHENANDOAH,TX,U,Y,U,Y,U,Y,U,Y,U,3,4,25,31,20,36,25,35,40,3,5,16,56,60,38,66,53,19,18,8
Active,CENTREVILLE,VA,U,U,U,Y,U,Y,U,U,Y,2,4,25,30,53,38,30,38,35,10,31,31,99,61,64,62,44,62,18,10
Expired/Cancelled,IRVINE,CA,U,U,U,U,U,U,U,Y,U,2,3,25,30,52,29,40,32,18,4,21,23,99,63,65,51,51,24,19,11
Active,CAMPBELL,CA,U,U,U,U,U,Y,U,U,U,3,4,25,22,7,31,29,9,48,3,3,1,99,80,94,89,47,44,5,1
Expired/Cancelled,GOLD CANYON,AZ,U,Y,U,U,U,Y,U,Y,U,3,2,25,46,50,21,41,30,22,38,43,59,99,30,39,26,56,42,21,66
Active,HONOLULU,HI,U,U,U,U,U,U,U,U,U,4,4,25,38,59,48,56,71,43,21,31,31,8,80,69,79,23,88,16,10
Expired/Cancelled,APOPKA,FL,Y,Y,U,U,Y,Y,Y,Y,Y,3,2,25,69,20,27,83,32,75,10,1,1,11,99,94,99,57,87,27,23
Expired/Cancelled,GARLAND,TX,U,U,U,U,Y,Y,U,Y,Y,3,2,25,70,12,30,80,21,37,11,10,2,11,99,74,99,71,87,7,2
Active,SPARKS,NV,U,U,U,Y,U,Y,U,Y,Y,3,2,25,70,17,23,85,21,59,26,3,4,7,99,97,99,57,86,18,29
Expired/Cancelled,AMARILLO,TX,U,U,U,U,U,Y,U,Y,Y,3,3,25,26,11,15,48,21,55,21,6,5,99,36,79,67,33,8,17,29
Expired/Cancelled,SEATTLE,WA,U,Y,U,U,U,Y,U,Y,U,2,3,25,27,21,22,28,42,57,33,29,36,99,67,36,64,13,47,55,52
Expired/Cancelled,REDDING,CT,Y,Y,Y,Y,Y,Y,U,Y,Y,3,4,25,26,42,27,37,59,51,23,37,34,99,62,75,53,13,28,19,28
Active,BRECKENRIDGE,CO,U,U,U,U,U,U,U,Y,U,3,4,25,33,13,42,49,42,39,12,24,31,38,74,60,82,34,67,15,8
Active,RICHMOND HILL,GA,U,U,U,U,U,Y,U,Y,U,3,4,25,54,19,28,63,2,34,3,3,4,11,87,69,94,72,86,2,3
Expired/Cancelled,PHOENIX,AZ,U,U,U,U,U,U,U,Y,U,2,4,25,30,13,56,56,30,63,47,21,38,99,93,85,86,30,53,24,45
Expired/Cancelled,WELLINGTON,FL,U,U,U,U,U,Y,U,Y,Y,2,4,25,26,16,15,30,24,35,22,14,18,99,23,70,56,67,9,16,6
Expired/Cancelled,MOUNT HOREB,WI,U,Y,U,U,U,U,U,Y,U,2,4,25,16,13,27,42,40,74,11,4,12,99,68,94,84,32,60,42,33
Expired/Cancelled,LOVELAND,CO,U,U,U,U,U,U,U,Y,U,4,2,25,69,20,27,83,32,75,10,1,1,11,99,94,99,57,87,27,23
Active,MCKINNEY,TX,U,Y,U,U,U,Y,U,Y,Y,2,4,25,31,20,29,10,4,59,14,10,10,49,80,55,82,71,55,1,2
Active,YOUNGSTOWN,OH,U,U,U,U,U,U,U,Y,U,3,4,25,29,20,25,31,29,49,23,12,18,99,39,96,59,66,19,17,8
Active,ESTERO,FL,U,U,U,U,U,U,U,U,Y,4,2,25,80,38,63,83,54,49,36,52,53,40,99,84,98,64,88,29,18
Expired/Cancelled,CAMDEN,ME,U,U,U,U,U,Y,U,Y,Y,3,4,25,34,21,18,57,60,36,20,30,31,18,96,62,94,35,40,26,14
Active,MAIDENS,VA,U,U,U,U,U,Y,U,U,U,3,3,25,22,13,13,56,34,25,46,25,30,99,66,61,87,17,38,26,23
Active,MIDDLEBURG,FL,U,Y,U,U,Y,Y,U,Y,Y,4,2,25,69,20,27,83,32,75,10,1,1,11,99,94,99,57,87,27,23
Active,LAGUNA NIGUEL,CA,U,Y,U,U,Y,Y,U,Y,U,3,2,25,96,62,29,67,74,52,34,37,25,83,90,94,97,86,97,17,12
Active,FOSTER CITY,CA,U,Y,U,U,Y,Y,U,Y,Y,2,4,25,33,56,29,16,21,18,6,12,5,99,77,67,68,59,60,1,3
Active,OVERLAND PARK,KS,U,U,U,U,U,U,U,U,U,3,2,25,65,31,15,71,59,44,34,34,24,40,89,74,96,71,84,18,12
Active,EAGLE,ID,U,Y,U,U,U,Y,U,Y,Y,2,4,25,29,23,25,16,30,49,21,11,17,99,22,95,53,76,14,18,7
Expired/Cancelled,HAYDEN,ID,U,Y,U,U,U,U,U,U,U,4,2,25,69,8,23,83,39,47,26,16,39,59,83,94,98,79,86,29,8
Expired/Cancelled,SPRING HILL,FL,U,U,U,Y,U,Y,U,Y,U,4,2,25,13,17,14,42,26,25,24,12,10,33,78,55,87,31,51,22,28
Active,HOUSTON,TX,U,U,U,Y,U,Y,U,Y,Y,3,4,25,23,22,27,44,31,75,6,1,1,99,53,91,80,34,61,26,23
Active,OXFORD,CT,U,U,U,U,U,Y,U,Y,Y,3,2,25,30,11,21,54,3,60,20,2,14,33,86,38,88,39,59,17,26
Expired/Cancelled,CINCINNATI,OH,Y,Y,Y,Y,Y,Y,U,Y,U,3,2,25,70,17,23,85,21,59,26,3,4,7,99,97,99,57,86,18,29
Expired/Cancelled,CORPUS CHRISTI,TX,U,Y,U,U,Y,Y,U,U,U,3,3,25,26,42,27,37,59,51,23,37,34,99,62,75,53,13,28,19,28
Active,RIDGEFIELD,CT,U,U,U,U,U,Y,U,Y,Y,3,4,25,78,55,48,86,50,20,15,12,11,36,98,71,98,65,98,7,1
Active,PLEASANTON,CA,U,U,U,U,U,Y,U,Y,U,4,2,25,65,51,27,52,50,47,23,35,23,45,88,72,94,75,80,19,27
Expired/Cancelled,EAST WINDSOR,NJ,U,U,U,U,U,U,U,U,U,4,2,25,38,20,41,41,37,71,28,18,21,34,60,45,77,42,68,34,54
Active,BLOOMFIELD HILLS,MI,U,U,U,Y,Y,Y,U,Y,U,4,2,25,76,9,49,89,55,78,27,42,39,17,99,54,99,34,86,38,18
Active,NORTH PLATTE,NE,U,U,U,Y,U,Y,U,Y,U,3,3,25,26,12,25,42,32,59,7,9,2,99,68,98,89,32,43,15,14
Active,NATICK,MA,U,U,U,U,U,U,U,Y,U,2,1,25,26,23,37,21,49,40,10,14,31,99,33,48,38,53,15,36,16
Expired/Cancelled,ISSAQUAH,WA,U,Y,U,U,U,Y,U,Y,U,3,4,25,20,34,43,56,63,48,12,33,25,99,83,68,79,32,68,18,7
Active,MILWAUKEE,WI,Y,Y,Y,Y,Y,Y,U,Y,Y,4,2,25,78,55,48,86,50,20,15,12,11,36,98,71,98,65,98,7,1
Active,SEVEN LAKES,NC,U,Y,U,U,U,Y,U,Y,U,3,2,25,72,28,14,76,48,55,30,25,31,33,97,80,97,56,83,42,49
Expired/Cancelled,CLINTON,WA,U,U,U,Y,U,Y,U,Y,Y,4,2,25,69,20,27,83,32,75,10,1,1,11,99,94,99,57,87,27,23
Active,WOODWAY,TX,,,,,,,,,,1,1,25,30,3,29,17,15,47,19,20,16,99,24,93,62,63,20,6,1
Active,EASTON,PA,U,U,Y,Y,Y,U,U,Y,U,2,4,25,34,23,32,21,37,40,26,21,31,99,25,62,35,69,16,21,9
Active,HALF MOON BAY,CA,U,Y,U,U,U,Y,U,Y,Y,3,4,25,26,42,27,37,59,51,23,37,34,99,62,75,53,13,28,19,28
Expired/Cancelled,SAINT PETERSBURG,FL,U,U,U,Y,Y,Y,U,Y,U,4,2,25,80,9,50,88,15,36,37,25,22,17,99,63,99,68,86,5,2
Active,EXCELSIOR,MN,U,Y,U,U,U,Y,U,Y,Y,3,4,25,34,21,31,20,36,40,23,21,31,99,40,54,59,65,50,19,9
Active,MOUNT LAUREL,NJ,U,Y,U,Y,U,Y,Y,Y,Y,4,4,25,30,10,20,53,2,60,16,1,14,46,69,36,69,21,22,17,28
Expired/Cancelled,ALAMEDA,CA,U,Y,U,U,U,Y,U,Y,Y,1,4,25,32,8,25,38,15,37,22,24,24,99,35,63,55,30,20,8,2
Expired/Cancelled,ALBUQUERQUE,NM,U,U,U,U,U,U,U,U,U,2,3,25,26,45,47,40,15,44,34,32,24,99,42,65,27,55,15,8,3
Active,AMHERST,NH,U,U,U,U,U,Y,U,Y,Y,4,2,25,77,18,58,85,16,63,44,15,30,25,99,86,99,59,87,17,28
Active,GREENDALE,WI,U,U,U,U,U,Y,U,Y,U,3,3,25,25,10,21,35,21,55,13,8,9,38,86,75,73,26,43,20,30
Active,SCHAUMBURG,IL,U,U,U,U,U,Y,U,Y,U,4,3,25,22,34,43,63,55,39,15,30,25,8,75,59,81,32,69,14,5
Expired/Cancelled,LOS ANGELES,CA,U,U,U,U,U,U,U,Y,U,2,4,25,39,55,42,25,58,15,15,46,37,99,31,20,35,29,58,14,23
Active,DOBBS FERRY,NY,U,Y,U,U,U,Y,U,Y,Y,2,4,25,4,26,31,59,54,43,22,28,23,21,78,39,80,44,62,20,9
Active,SAN JOSE,CA,U,Y,U,U,U,Y,U,Y,Y,2,1,25,34,52,30,6,21,18,5,16,13,84,69,59,75,73,48,6,1
Active,KNOXVILLE,TN,U,Y,Y,U,Y,Y,U,Y,Y,4,3,25,30,10,20,53,2,60,16,1,14,46,69,36,69,21,22,17,28
Expired/Cancelled,HOLLAND,OH,U,U,U,U,Y,Y,U,Y,U,2,3,25,22,13,2,42,30,73,45,24,30,99,24,59,54,20,31,32,24
Expired/Cancelled,MIDDLETON,WI,U,Y,U,U,U,Y,Y,Y,Y,2,1,25,38,15,31,27,4,33,10,22,10,56,54,64,59,62,21,2,1
Expired/Cancelled,PALM HARBOR,FL,U,U,U,U,U,U,U,U,U,4,3,25,70,17,23,85,21,59,26,3,4,7,99,97,99,57,86,18,29
Expired/Cancelled,HUNTINGTON STATION,NY,,,,,,,,,,3,4,25,26,42,27,37,59,51,23,37,34,99,62,75,53,13,28,19,28
Expired/Cancelled,HEBER CITY,UT,U,Y,U,U,U,Y,U,Y,U,4,4,25,34,22,29,20,35,18,25,19,25,99,54,35,74,65,56,14,8
Active,HINSDALE,IL,U,U,U,U,U,U,U,U,U,1,4,25,29,9,29,23,13,48,22,20,10,99,22,95,65,53,9,3,1
Active,REDONDO BEACH,CA,U,U,U,U,U,U,U,U,Y,3,4,25,36,22,73,19,35,40,17,20,31,99,78,46,65,56,48,16,8
Expired/Cancelled,CHANDLER,AZ,U,U,U,U,U,Y,U,Y,U,3,3,25,30,27,27,29,57,49,11,23,26,99,78,87,79,9,49,23,20
Expired/Cancelled,RICHARDSON,TX,U,Y,U,U,U,Y,U,Y,U,4,2,25,70,12,30,80,21,37,11,10,2,11,99,74,99,71,87,7,2
Expired/Cancelled,SAN JUAN CAPISTRANO,CA,U,U,U,U,U,Y,U,Y,U,4,2,25,59,26,35,88,48,30,20,28,22,21,99,40,99,67,89,18,8
Active,SHAKER HEIGHTS,OH,U,U,U,U,U,U,U,U,U,4,2,25,22,34,43,63,55,39,15,30,25,19,75,59,81,32,69,14,5
Expired/Cancelled,INDIANAPOLIS,IN,U,U,U,U,U,Y,Y,Y,Y,3,3,25,30,13,25,16,30,49,17,11,16,99,41,93,60,77,14,15,6
Expired/Cancelled,LA CROSSE,WI,U,U,U,U,U,U,U,U,U,2,3,25,31,37,16,18,59,35,31,36,38,99,36,75,71,76,40,28,15
Expired/Cancelled,DUXBURY,MA,Y,U,U,U,U,Y,U,Y,U,2,4,25,29,22,29,38,50,28,12,26,18,99,68,75,84,50,48,14,3
Expired/Cancelled,BEAVERTON,OR,U,U,U,Y,U,Y,U,Y,Y,2,4,25,30,22,25,31,24,49,18,14,17,99,17,89,55,60,47,14,5
Active,LA GRANDE,OR,,,,,,,,,,1,4,25,72,20,14,75,23,22,41,27,26,59,81,29,97,71,86,30,23
Expired/Cancelled,TACOMA,WA,U,U,U,U,U,Y,U,Y,Y,3,4,25,30,20,32,53,38,80,42,11,17,33,72,42,97,11,67,34,46
Active,QUECHEE,VT,U,U,U,U,U,Y,U,Y,Y,3,2,25,74,30,52,74,51,22,26,28,37,29,99,40,98,64,84,24,8
Expired/Cancelled,COLUMBUS,IN,U,U,U,U,U,Y,U,U,U,3,3,25,29,20,25,31,29,49,23,12,18,99,39,96,59,66,19,17,8
Expired/Cancelled,WHEELING,WV,U,Y,U,U,U,Y,U,Y,Y,3,4,25,32,8,14,53,29,69,28,21,20,99,65,69,83,28,46,15,7
Expired/Cancelled,CERRITOS,CA,,,,,,,,,,1,4,25,22,28,23,32,54,44,46,52,50,99,13,81,40,49,48,11,8
Active,CANON CITY,CO,U,U,U,U,U,Y,U,U,Y,4,1,25,30,11,21,54,3,60,20,2,14,33,86,38,88,39,59,17,26
Expired/Cancelled,MIDLAND,TX,,,,,,,,,,4,4,25,34,18,14,37,20,43,24,30,31,57,62,17,84,71,53,14,14
Active,RALEIGH,NC,U,U,U,U,U,Y,U,U,U,2,4,25,51,30,28,21,4,33,32,49,31,99,4,48,28,72,57,4,1
Active,JACKSONVILLE,FL,U,U,U,Y,U,Y,U,Y,U,4,3,25,23,22,27,41,31,75,6,1,1,99,68,94,83,33,60,25,23
Active,WESLEY CHAPEL,FL,U,Y,U,U,U,Y,U,Y,U,3,2,25,72,20,25,62,30,49,26,11,17,59,82,95,98,86,86,16,6
